folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Administrative/Operation Notes,oper_date_of_adentonsillectomy,Date adentonsillectomy performed,Calendar dates were shifted by a random amount of days as part of the data de-identification process. All calendar dates for a given subject have been offset by the same amount of days.,date,yyyy-mm-dd,,,,,
Administrative/Operation Notes,oper_form_date,Intra-Operative Data Sheet date of entry,Calendar dates were shifted by a random amount of days as part of the data de-identification process. All calendar dates for a given subject have been offset by the same amount of days.,date,yyyy-mm-dd,,,,,
Administrative/Post-Operative Evaluation,post_date_of_phone_call,Date of Post-Surgery Contact phone call,Calendar dates were shifted by a random amount of days as part of the data de-identification process. All calendar dates for a given subject have been offset by the same amount of days.,date,yyyy-mm-dd,,,,,
Administrative/Pre-Operative Evaluation,preop_form_date,Pre-Operative Evaluation date of entry,Calendar dates were shifted by a random amount of days as part of the data de-identification process. All calendar dates for a given subject have been offset by the same amount of days.,date,yyyy-mm-dd,,,,,
Administrative,studyinfo_randomized_date,Date randomized ,Calendar dates were shifted by a random amount of days as part of the data de-identification process. All calendar dates for a given subject have been offset by the same amount of days.,date,yyyy-mm-dd,,,,,
Administrative,studyinfo_stopped_date,Date that participation stopped,Calendar dates were shifted by a random amount of days as part of the data de-identification process. All calendar dates for a given subject have been offset by the same amount of days.,date,yyyy-mm-dd,,,,,
Administrative,studyinfo_surgery_date,Date of Eary Adenotonsillectomy surgery,Calendar dates were shifted by a random amount of days as part of the data de-identification process. All calendar dates for a given subject have been offset by the same amount of days.,date,yyyy-mm-dd,,,,,
Administrative,studyinfo_treat_stop_date,Date of treatment stop,Calendar dates were shifted by a random amount of days as part of the data de-identification process. All calendar dates for a given subject have been offset by the same amount of days.,date,yyyy-mm-dd,,,,,
Anthropometry,anthro_date,Date of measurement,Calendar dates were shifted by a random amount of days as part of the data de-identification process. All calendar dates for a given subject have been offset by the same amount of days.,date,yyyy-mm-dd,,,,,
Clinical Data/Neurobehavioral Assessment/Adaptive Behavior Assessment System (ABAS-3),abas_form_date,Form created date ,Calendar dates were shifted by a random amount of days as part of the data de-identification process. All calendar dates for a given subject have been offset by the same amount of days.,date,yyyy-mm-dd,,,,,
