folder,domain_id,value,display_name,description
,timepoint,0,Screening Visit,
,timepoint,1,Baseline Visit,
,timepoint,2,Month-6 Interim Visit,
,timepoint,3,Month-12 Endpoint Visit,
,brief_version,1,BRIEF-Preschool Version,
,brief_version,2,BRIEF-Second Edition,
,sex_1m_2f,1,Male,
,sex_1m_2f,2,Female,
,brief_item_response,1,Never,
,brief_item_response,2,Sometimes,
,brief_item_response,3,Often,
,gng_task_type,1,Go-No-Go for 3 to 4 years old,
,gng_task_type,2,Go-No-Go for 5 to 6 years old,
,gng_task_type,3,Go-No-Go for 7 years old and above,
,gng_warning,0,Good data,
,gng_warning,1,Bad data warning,
,no0_yes1,0,No,
,no0_yes1,1,Yes,
,cbcl_version,1,CBCL/1.5-5,
,cbcl_version,2,CBCL/6-18,
,trf_version,1,C-TRF,
,trf_version,2,TRF/6-18,
,ess,0,No Chance,
,ess,1,Slight Chance,
,ess,2,Moderate Chance,
,ess,3,High Chance,
,hand_dominance_plue_unsure,1,Right,
,hand_dominance_plue_unsure,2,Left,
,hand_dominance_plue_unsure,3,Unsure,
,hand_dominance,1,Right,
,hand_dominance,2,Left,
,psg_study_failed_reason,1,Oximetry,
,psg_study_failed_reason,2,EEG,
,psg_study_failed_reason,3,Short Recording,
,psg_study_failed_reason,4,Multiple,
,psg_study_failed_reason,5,Equipment,
,psg_study_failed_reason,6,Respiratory,
,psg_study_failed_reason,7,Corrupt File (no backup),
,psg_study_failed_reason,8,Other,
,signal_quality_grade,1,<25% sleep time,
,signal_quality_grade,2,>25% sleep time,
,signal_quality_grade,3,>50% sleep time,
,signal_quality_grade,4,>75% sleep time,
,signal_quality_grade,5,>95% sleep time ,
,study_quality,1,Fair,
,study_quality,2,Good,
,study_quality,3,Very Good,
,study_quality,4,Excellent,
,study_quality,5,Outstanding,
,study_quality,98,Other,
,act_interval_type,1,Main sleep,
,act_interval_type,2,Nap,
,actigraphy_type,1,Actiwatch,
,actigraphy_type,2,ActiGraph wGT3X-BT,
,actigraphy_type,3,Actiwatch Spectrum ,
,actigraphy_scorer,910,Jean Arnold,
,actigraphy_scorer,913,Kifle Gebre,
,actigraphy_scorer,931,Michelle Nicholson,
,actigraphy_scorer,946,Emily Kaplan,
,never_almost_always,0,Never,
,never_almost_always,1,Rarely (less than once a week),
,never_almost_always,2,Sometimes (1 to 2 times per week),
,never_almost_always,3,Frequently (3 to 4 times per week),
,never_almost_always,4,Always or Almost Always (5 to 7 times per week),
,age_category,0,2-4 years old,
,age_category,1,5-7 years old,
,age_category,2,8-12 years old,
,age_category,3,13 years old,
,none_all,0,None of the time,
,none_all,1,Hardly any of the time,
,none_all,2,A little of the time,
,none_all,3,Some of the time,
,none_all,4,A good bit of the time,
,none_all,5,Most of the time,
,none_all,6,All of the time,
,yes_no_dontknow,0,No,
,yes_no_dontknow,1,Yes,
,yes_no_dontknow,99,Don't Know,
,yes_no_notsure,0,No,
,yes_no_notsure,1,Yes,
,yes_no_notsure,99,Not Sure,
,more_less,1,More,
,more_less,2,Less,
,more_less,88,Not sure,
,never_always_notsure,0,Never,
,never_always_notsure,1,Rarely (less than once a week),
,never_always_notsure,2,Sometimes (1 to 2 times per week),
,never_always_notsure,3,Frequently (3 to 4 times per week),
