folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Administrative,subject,PATS participant identifier,,identifier,,,,,,
Administrative,timepoint,PATS visit timepoint,,choices,,timepoint,,,,
BRIEF,brief_version_parent,BRIEF: Form version (parent-completed),,choices,,brief_version,,,,
BRIEF,brief_test_date_parent,BRIEF: Test date (parent-completed),,date,yyyy-mm-dd,,,,,
BRIEF,brief_child_age_parent,BRIEF: Child age (parent-completed),,integer,years,,,,,
BRIEF,brief_child_sex_parent,BRIEF: Child sex (parent-completed),,choices,,sex_1m_2f,,,,
BRIEF,brief_r1_parent,BRIEF: Item 1 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r2_parent,BRIEF: Item 2 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r3_parent,BRIEF: Item 3 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r4_parent,BRIEF: Item 4 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r5_parent,BRIEF: Item 5 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r6_parent,BRIEF: Item 6 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r7_parent,BRIEF: Item 7 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r8_parent,BRIEF: Item 8 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r9_parent,BRIEF: Item 9 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r10_parent,BRIEF: Item 10 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r11_parent,BRIEF: Item 11 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r12_parent,BRIEF: Item 12 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r13_parent,BRIEF: Item 13 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r14_parent,BRIEF: Item 14 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r15_parent,BRIEF: Item 15 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r16_parent,BRIEF: Item 16 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r17_parent,BRIEF: Item 17 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r18_parent,BRIEF: Item 18 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r19_parent,BRIEF: Item 19 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r20_parent,BRIEF: Item 20 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r21_parent,BRIEF: Item 21 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r22_parent,BRIEF: Item 22 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r23_parent,BRIEF: Item 23 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r24_parent,BRIEF: Item 24 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r25_parent,BRIEF: Item 25 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r26_parent,BRIEF: Item 26 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r27_parent,BRIEF: Item 27 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r28_parent,BRIEF: Item 28 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r29_parent,BRIEF: Item 29 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r30_parent,BRIEF: Item 30 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r31_parent,BRIEF: Item 31 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r32_parent,BRIEF: Item 32 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r33_parent,BRIEF: Item 33 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r34_parent,BRIEF: Item 34 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r35_parent,BRIEF: Item 35 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r36_parent,BRIEF: Item 36 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r37_parent,BRIEF: Item 37 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r38_parent,BRIEF: Item 38 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r39_parent,BRIEF: Item 39 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r40_parent,BRIEF: Item 40 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r41_parent,BRIEF: Item 41 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r42_parent,BRIEF: Item 42 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r43_parent,BRIEF: Item 43 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r44_parent,BRIEF: Item 44 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r45_parent,BRIEF: Item 45 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r46_parent,BRIEF: Item 46 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r47_parent,BRIEF: Item 47 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r48_parent,BRIEF: Item 48 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r49_parent,BRIEF: Item 49 response (parent-completed),,choices,,brief_item_response,,,,
BRIEF,brief_r50_parent,BRIEF: Item 50 response (parent-completed),,choices,,brief_item_response,,,,
