folder,id,display_name,description,type,units,domain,labels,calculation,commonly_used,forms
Harmonized/Polysomnography/Apnea-Hypopnea Indices,nsrr_ahi_hp3r_aasm15,Apnea-Hypopnea Index : (All apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction and >= 3% oxygen desaturation or with arousal) / hour of sleep,"Harmonized by the NSRR team. <br><br> The definition for hypopneas is consistent with the following clinical guidelines: (1) American Academy of Sleep Medicine (AASM) 2007 Manual (2012 update) (recommended). [Berry RB et al. 2012 (PubMed ID:23066376)] (https://www.ncbi.nlm.nih.gov/pubmed/23066376), and (2) American Academy of Sleep Medicine (AASM) 2015 (recommended) [Berry RB et al. The AASM Manual for the Scoring of Sleep and Associated Events: Rules, Terminology and Technical Specifications, Version 2.2. American Academy of Sleep Medicine, Darien, IL, 2015.]<br><br> Refer to the source for detailed definition for respiratory events: :psg_ahi_a0h3a:",numeric,number of events per hour,,ahi_ap0uhp3x3r_f1t1;aasm15_recommended,,TRUE,
Harmonized/Polysomnography/Apnea-Hypopnea Indices,nsrr_ahi_hp3u,Apnea-Hypopnea Index : (All apneas + hypopneas with >= 3% oxygen desaturation) / hour of sleep ,Harmonized by the NSRR team. Refer to the source for detailed definition for respiratory events: :psg_ahi_a0h3:,numeric,number of events per hour,,ahi_ap0uhp3x3u_f1t1,,TRUE,
Harmonized/Polysomnography/Apnea-Hypopnea Indices,nsrr_ahi_hp4r,Apnea-Hypopnea Index : (All apneas + hypopneas with >= 4% oxygen desaturation or with arousal) / hour of sleep,Harmonized by the NSRR team. Refer to the source for detailed definition for respiratory events: :psg_ahi_a0h4a:,numeric,number of events per hour,,ahi_ap0uhp3x4r_f1t2,,TRUE,
Harmonized/Polysomnography/Apnea-Hypopnea Indices,nsrr_ahi_hp4u_aasm15,Apnea-Hypopnea Index : (All apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction with >= 4% oxygen desaturation) / hour of sleep,"Harmonized by the NSRR team.<br><br>The definition of hypopnea events is consistent with the following clinical guidelines: (1) AASM 2012 update (alternative) [Berry RB et al. 2012 (PubMed ID:23066376)](https://www.ncbi.nlm.nih.gov/pubmed/23066376), and (2) AASM 2015 (acceptable) [Berry RB et al. The AASM Manual for the Scoring of Sleep and Associated Events: Rules, Terminology and Technical Specifications, Version 2.2. American Academy of Sleep Medicine, Darien, IL, 2015.].<br><br> Refer to the source for detailed definition for respiratory events: :psg_ahi_a0h4:",numeric,number of events per hour,,ahi_ap0uhp3x4u_f1t1;aasm15_acceptable,,TRUE,
Harmonized/Polysomnography/Apnea-Hypopnea Indices,nsrr_cai,Central Apnea Index: (Central apneas with no oxygen desaturation threshold used and with or without arousal) / hour of sleep,Harmonized by the NSRR team. Source: :psg_cai0p:,numeric,number of events per hour,,cai_ca0u_f1t1,,TRUE,
Harmonized/Polysomnography/Apnea-Hypopnea Indices,nsrr_oahi_hp3r_aasm15,Obstructive Apnea-Hypopnea Index : (Obstructive apneas + hypopneas with >=30% nasal cannula [or alternative sensor] reduction and >=3% oxygen desaturation or with arousal) / hour of sleep,"Harmonized by the NSRR team. <br><br> The definition for hypopneas is consistent with the following clinical guidelines: (1) American Academy of Sleep Medicine (AASM) 2007 Manual (2012 update) (recommended). [Berry RB et al. 2012 (PubMed ID:23066376)] (https://www.ncbi.nlm.nih.gov/pubmed/23066376), and (2) American Academy of Sleep Medicine (AASM) 2015 (recommended) [Berry RB et al. The AASM Manual for the Scoring of Sleep and Associated Events: Rules, Terminology and Technical Specifications, Version 2.2. American Academy of Sleep Medicine, Darien, IL, 2015.]<br><br> Refer to the source for detailed definition for respiratory events: :psg_ahi_o0h3a:",numeric,number of events per hour,,oahi_oa0uhp3x3r_f1t1;aasm15_recommended,,TRUE,
Harmonized/Polysomnography/Apnea-Hypopnea Indices,nsrr_oahi_hp3u,Obstructive Apnea-Hypopnea Index : (Obstructive apneas + hypopneas with >= 3% oxygen desaturation) / hour of sleep,Harmonized by the NSRR team. Source: :psg_oahi3:,numeric,number of events per hour,,oahi_oa0uhp3x3u_f1t1,,TRUE,
Harmonized/Polysomnography/Apnea-Hypopnea Indices,nsrr_oahi_hp3u_pb,Obstructive Apnea-Hypopnea Index for supine sleep: (Obstructive apneas + hypopneas with >= 3% oxygen desaturation) / hour of sleep in supine position,Harmonized by the NSRR team. Source: :psg_ahi_o0h3_supine:,numeric,number of events per hour,,oahi_pb_oa0uhp3x3u_f1t1,,TRUE,
Harmonized/Polysomnography/Apnea-Hypopnea Indices,nsrr_oahi_hp3u_po,Obstructive Apnea-Hypopnea Index for non-supine sleep: (Obstructive apneas + hypopneas with >= 3% oxygen desaturation) / hour of sleep in non-supine position,Harmonized by the NSRR team. Source: :psg_ahi_o0h3_nonsupine:,numeric,number of events per hour,,oahi_po_oa0uhp3x3u_f1t1,,TRUE,
Harmonized/Polysomnography/Apnea-Hypopnea Indices,nsrr_oahi_hp3u_sn,Obstructive Apnea-Hypopnea Index for NREM sleep: (Obstructive apneas + hypopneas with >= 3% oxygen desaturation) / hour of NREM sleep,Harmonized by the NSRR team. Source: :psg_ahi_o0h3_nrem:,numeric,number of events per hour,,oahi_sn_oa0uhp3x3u_f1t1,,TRUE,
Harmonized/Polysomnography/Apnea-Hypopnea Indices,nsrr_oahi_hp3u_sr,Obstructive Apnea-Hypopnea Index for REM sleep: (Obstructive apneas + hypopneas with >= 3% oxygen desaturation) / hour of REM sleep,Harmonized by the NSRR team. Source: :psg_ahi_o0h3_rem:,numeric,number of events per hour,,oahi_sr_oa0uhp3x3u_f1t1,,TRUE,
Harmonized/Polysomnography/Apnea-Hypopnea Indices,nsrr_oahi_hp4u,Obstructive Apnea-Hypopnea Index : (Obstructive apneas + hypopneas with >= 4% oxygen desaturation) / hour of sleep,Harmonized by the NSRR team. Source: :psg_oahi4:,numeric,number of events per hour,,oahi_oa0uhp3x4u_f1t1,,TRUE,
Harmonized/Polysomnography/Apnea-Hypopnea Indices,nsrr_oahi_hp4u_pb,Obstructive Apnea-Hypopnea Index for supine sleep: (Obstructive apneas + hypopneas with >= 4% oxygen desaturation) / hour of sleep in supine position,Harmonized by the NSRR team. Source: :psg_ahi_o0h4_supine:,numeric,number of events per hour,,oahi_pb_oa0uhp3x4u_f1t1,,TRUE,
Harmonized/Polysomnography/Apnea-Hypopnea Indices,nsrr_oahi_hp4u_po,Obstructive Apnea-Hypopnea Index for non-supine sleep: (Obstructive apneas + hypopneas with >= 4% oxygen desaturation) / hour of sleep in non-supine position,Harmonized by the NSRR team. Source: :psg_ahi_o0h4_nonsupine:,numeric,number of events per hour,,oahi_po_oa0uhp3x4u_f1t1,,TRUE,
Harmonized/Polysomnography/Apnea-Hypopnea Indices,nsrr_oahi_hp4u_sn,Obstructive Apnea-Hypopnea Index for NREM sleep: (Obstructive apneas + hypopneas with >= 4% oxygen desaturation) / hour of NREM sleep,Harmonized by the NSRR team. Source: :psg_ahi_o0h4_nrem:,numeric,number of events per hour,,oahi_sn_oa0uhp3x4u_f1t1,,TRUE,
Harmonized/Polysomnography/Apnea-Hypopnea Indices,nsrr_oahi_hp4u_sr,Obstructive Apnea-Hypopnea Index for REM sleep: (Obstructive apneas + hypopneas with >= 4% oxygen desaturation) / hour of REM sleep,Harmonized by the NSRR team. Source: :psg_ahi_o0h4_rem:,numeric,number of events per hour,,oahi_sr_oa0uhp3x4u_f1t1,,TRUE,
